                                 name                                 | points |           name           | short_name | recommended_for_first_year | array_agg |                                array_agg                                 
----------------------------------------------------------------------+--------+--------------------------+------------+----------------------------+-----------+--------------------------------------------------------------------------
 Kurs: Tworzenie aplikacji frontendowych                              |      5 | Kurs inżynierski         | K.inż      | t                          | {NULL}    | {NULL}
 Systemy komputerowe                                                  |      6 | Informatyczny 1          | I1         | f                          | {ASK,SO}  | {"Architektury systemów komputerowych","Systemy operacyjne"}
 [IM] Topologia                                                       |      0 | Matematyczny             | MAT        | f                          | {NULL}    | {NULL}
 Projekt: Implementacja języka Fram                                   |      4 | Projekt                  | P          | f                          | {NULL}    | {NULL}
 Praktyka zawodowa - cztery tygodnie                                  |      4 | Inne                     | ?          | f                          | {NULL}    | {NULL}
 Teoretyczne podstawy języków programowania                           |      6 | I2.T - teoria inf.       | I2.T       | f                          | {JP}      | {"języki programowania i logika"}
 Kurs programowania gier w silniku Unreal 5                           |      5 | K2 - kurs zaawansowany   | K2         | f                          | {NULL}    | {NULL}
 Advanced Data Mining                                                 |      6 | I2.Z - zastosowania inf. | I2.Z       | f                          | {DS}      | {"Data Science"}
 Projekt: rozwój Schedulera (Reaktywacja)                             |      4 | Projekt                  | P          | f                          | {NULL}    | {NULL}
 Praktyka programowania sportowego                                    |      2 | Inne                     | ?          | f                          | {NULL}    | {NULL}
 Algorithms for Network Design                                        |      6 | I2.Z - zastosowania inf. | I2.Z       | f                          | {NULL}    | {NULL}
 Numerical Optimization                                               |      8 | I2.T - teoria inf.       | I2.T       | f                          | {DS}      | {"Data Science"}
 Seminarium: Analiza problemów algorytmicznych                        |      3 | Seminarium               | S          | t                          | {NULL}    | {NULL}
 Wstęp do bezpieczeństwa komputerowego                                |      6 | Informatyczny 1          | I1         | f                          | {NULL}    | {NULL}
 Algorytmy funkcjonalne i trwałe struktury danych                     |      6 | I2.T - teoria inf.       | I2.T       | f                          | {JP,AZ}   | {"języki programowania i logika","algorytmika i złożoność obliczeniowa"}
 Introduction to Linear Optimization                                  |      6 | I2.T - teoria inf.       | I2.T       | f                          | {NULL}    | {NULL}
 Etyka dla myślących (w)                                              |      3 | Humanistyczno-społeczny  | HS         | f                          | {NULL}    | {NULL}
 Języki formalne i złożoność obliczeniowa                             |      9 | Obowiązkowy 3            | O3         | f                          | {NULL}    | {NULL}
 Metody programowania                                                 |      9 | Obowiązkowy 1            | O1         | t                          | {NULL}    | {NULL}
