                                name                                 | points |           name           | short_name | recommended_for_first_year | array_agg |                                array_agg                                
---------------------------------------------------------------------+--------+--------------------------+------------+----------------------------+-----------+-------------------------------------------------------------------------
 Praktyka zawodowa - sześć tygodni                                   |      6 | Inne                     | ?          | f                          | {NULL}    | {NULL}
 Kurs języka Haskell                                                 |      5 | K2 - kurs zaawansowany   | K2         | f                          | {NULL}    | {NULL}
 Rachunek prawdopodobieństwa dla informatyków                        |      6 | I2.T - teoria inf.       | I2.T       | f                          | {NG}      | {"metody numeryczne i grafika komputerowa"}
 Projekt: Rozwój Systemu Zapisów                                     |      4 | Projekt                  | P          | f                          | {NULL}    | {NULL}
 Podstawy elektroniki, elektrotechniki i miernictwa                  |      4 | Kurs inżynierski         | K.inż      | f                          | {NULL}    | {NULL}
 Kurs: Wstęp do programowania w języku C                             |      5 | K1 - kurs podstawowy     | K1         | t                          | {NULL}    | {NULL}
 Konstrukcja kompilatorów                                            |      6 | Informatyczny 1          | I1         | f                          | {NULL}    | {NULL}
 Tutoring                                                            |      0 | Inne                     | ?          | t                          | {NULL}    | {NULL}
 Programowanie współbieżne                                           |      6 | Informatyczny 1          | I1         | f                          | {NULL}    | {NULL}
 Kurs projektowania aplikacji ASP.NET                                |      5 | Kurs inżynierski         | K.inż      | f                          | {NULL}    | {NULL}
 Matematyka dyskretna (M)                                            |      9 | Obowiązkowy 2            | O2         | f                          | {NULL}    | {NULL}
 Kurs rozszerzony języka Python                                      |      5 | K1 - kurs podstawowy     | K1         | f                          | {NULL}    | {NULL}
 Semantyka języków programowania (Q2)                                |      4 | I2.T - teoria inf.       | I2.T       | f                          | {JP}      | {"języki programowania i logika"}
 [IM] Miara i całka                                                  |      0 | Matematyczny             | MAT        | f                          | {NULL}    | {NULL}
 Proseminarium: Wizualizacja danych                                  |      3 | Proseminarium            | PS         | f                          | {NULL}    | {NULL}
 Analiza matematyczna                                                |     10 | Obowiązkowy 1            | O1         | t                          | {NULL}    | {NULL}
 Podstawy i zastosowania złożoności obliczeniowej                    |      6 | Informatyczny inż.       | Iinż       | f                          | {NULL}    | {NULL}
 Seminarium: Algorytmy streamingowe                                  |      3 | Seminarium               | S          | f                          | {NULL}    | {NULL}
 Inżynieria oprogramowania                                           |      6 | Informatyczny 1          | I1         | f                          | {IO}      | {"Inżynieria oprogramowania"}
 [IM] Algebra 1                                                      |      0 | Matematyczny             | MAT        | f                          | {NULL}    | {NULL}
 Wybrane elementy praktyki projektowania oprogramowania              |      6 | Informatyczny inż.       | Iinż       | f                          | {IO,PiPO} | {"Inżynieria oprogramowania","Projektowanie i programowanie obiektowe"}
 Problemy decyzyjne w logice                                         |      6 | I2.T - teoria inf.       | I2.T       | f                          | {JP}      | {"języki programowania i logika"}
